created_at,text,source,geo
2016-12-21T00:19:06.000Z,"RT @Lakers: D3ng hits with a defender in his grill!

Lakers lead 14-10 early in the first.",Twitter for iPhone,
2016-12-21T00:19:06.000Z,"RT @Lakers: D3ng hits with a defender in his grill!

Lakers lead 14-10 early in the first.",Twitter Web Client,
2016-12-21T00:18:51.000Z,Vamos a perder contra los Lakers xddd,Twitter Web Client,
2016-12-21T00:19:08.000Z,"RT @Lakers: D3ng hits with a defender in his grill!

Lakers lead 14-10 early in the first.",Twitter for Android,
2016-12-21T00:19:09.000Z,Lets Go Lakers! — watching Los Angeles Lakers vs Charlotte Hornets,Facebook,
2016-12-21T00:18:52.000Z,RT @Lakers: Pregame Scene #LakeShow https://t.co/iT1J8jgYP9,Twitter for Android,
2016-12-21T00:19:10.000Z,Watching #Lakers @TuckerCarlson @FOX5Vegas  all at the same time!,Twitter for Windows,
2016-12-21T00:19:04.000Z,"RT @Lakers: D3ng hits with a defender in his grill!

Lakers lead 14-10 early in the first.",Twitter for iPhone,
2016-12-21T00:19:11.000Z,"RT @Lakers: D3ng hits with a defender in his grill!

Lakers lead 14-10 early in the first.",Twitter for Android,
2016-12-21T00:19:11.000Z,"RT @Lakers: D3ng hits with a defender in his grill!

Lakers lead 14-10 early in the first.",Twitter for iPhone,
2016-12-21T00:19:11.000Z,RT @NBA_Skits: The Lakers announce that a statue of Shaq will be unveiled at Star Plaza outside Staples Center prior to the Lakers… ,Twitter for iPhone,
2016-12-21T00:19:11.000Z,TIX https://t.co/ftCJENoC4o 2 LOS ANGELES LAKERS vs SACRAMENTO #Kings- 2/14/17 - Section 117 Row D (4th Row)… https://t.co/0Ln4kCxNiY,dlvr.it,
2016-12-21T00:19:09.000Z,Lakers reveal details on Shaq's massive statue -- and when it... https://t.co/QbALOpLoe7 #basketball #NBA #Sports https://t.co/h09bIw1TyK,Twibble.io,
2016-12-21T00:19:13.000Z,"NBA Action 
1) Lakers +9 (-110)
2) Warriors -11 (-110)
3) Spurs +1 (-110) 
4) Cavs ML (-160)
5) Memphis ML (+135)",Twitter for iPhone,
2016-12-21T00:19:13.000Z,RT @At_The_Hive: I don't think giving up 11 points to the Lakers in 4 minutes is good.,Twitter Web Client,
2016-12-21T00:19:13.000Z,RT @Lakers: #LakeShow https://t.co/MTfhGXpbTq,Twitter for Android,
2016-12-21T00:19:13.000Z,2 LOS ANGELES LAKERS vs SACRAMENTO #Kings- 2/14/17 - Section 117 Row D (4th Row) https://t.co/dPIyWujWby #Sales https://t.co/nnjFNqkc5u,dlvr.it,
2016-12-21T00:19:14.000Z,"#Health #Fatloss What's the Secret to Losing Weight? Not ""The Biggest Loser"" Method!… https://t.co/n7I4Mi4j8p #Deals #Lakers",dlvr.it,
